// Map dimensions
mapSize = sf::Vector2u(24, 14);
map = {
	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	24,	24,	24,	24,	32,	24,	24,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	25,
	6,	4,	6,	6,	32,	28,	29,	19,	20,	20,	20,	20,	21,	0,	0,	0,	0,	0,	0,	0,	0,	26,	27,	27,
	8,	8,	8,	7,	32,	30,	31,	11,	10,	15,	16,	10,	14,	0,	0,	0,	0,	0,	0,	0,	0,	0,	34,	34,
	9,	9,	9,	28,	29,	28,	29,	11,	10,	12,	13,	10,	14,	0,	0,	0,	0,	0,	0,	0,	0,	0,	34,	34,
	1,	2,	3,	30,	31,	30,	31,	11,	10,	17,	18,	10,	14,	0,	0,	33,	33,	33,	33,	33,	0,	0,	34,	34,
	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,	24,
	22,	23,	22,	23,	22,	23,	22,	23,	22,	23,	22,	23,	22,	23,	22,	23,	22,	23,	22,	23,	22,	23,	22,	23
};
